,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genshin Impact Character Event Wish Banner History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patch No.,,,Appearances,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8,4.0,4.0,4.1,4.1,4.2,4.2,4.3,4.3,4.4,4.4,4.5,4.5,4.6,4.6,4.7,4.7,4.8,4.8,5.0,5.0,5.1,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5,5.5,5.6,5.6,5.7,5.7,5.8,5.8,Luna I,Luna I,Luna II,Luna II,Luna III,Luna III,Luna IV,Luna IV,Luna V,Luna V,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Character Event Wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Character Event Wish-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,★★★★★,,,,Venti,Klee,Tartaglia,Zhongli,Albedo,Ganyu,Xiao,Keqing,Hu Tao,Venti,Tartaglia,Zhongli,Eula,Klee,Kaedehara Kazuha,Kamisato Ayaka,Yoimiya,Raiden Shogun,Sangonomiya Kokomi,Tartaglia,Hu Tao,Albedo,Arataki Itto,Shenhe,Zhongli,Yae Miko,Raiden Shogun,Kamisato Ayato,Kamisato Ayaka,Yelan,Arataki Itto,Kaedehara Kazuha,Yoimiya,Tighnari,Ganyu,Cyno,Nilou,Nahida,Yae Miko,Wanderer,Raiden Shogun,Alhaitham,Hu Tao,Dehya,Shenhe,Nahida,Baizhu,Yoimiya,Alhaitham,Eula,Sangonomiya Kokomi,Lyney,Zhongli,Neuvillette,Wriothesley,Furina,Cyno,Navia,Raiden Shogun,Xianyun,Xiao,Chiori,Neuvillette,Arlecchino,Wanderer,Clorinde,Sigewinne,Navia,Emelie,Mualani,Kinich,Xilonen,Nahida,Chasca,Neuvillette,Mauvika,Arlecchino,Yumemizuki Mizuki,Wriothesley,Varesa,Xilonen,Escoffier,Kinich,Skirk,Mauvika,Ineffa,Mualani,Lauma,Flins,Furina,Arlecchino,Durin,Varesa,Columbina,Zibai,Varka,Skirk,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Eula,,Xiao,Ganyu,,Sangonomiya Kokomi,Venti,,Xiao,,Klee,,Zhongli,Sangonomiya Kokomi,Venti,Albedo,Yoimiya,Tartaglia,Arataki Itto,Kamisato Ayato,Xiao,Yelan,Cyno,Kamisato Ayaka,Nilou,Ganyu,Yae Miko,Kaedehara Kazuha,Klee,Wanderer,Yelan,Tartaglia,Hu Tao,Venti,Baizhu,Kamisato Ayato,Kamisato Ayaka,Yoimiya,Nahida,Yae Miko,Arataki Itto,Kaedehara Kazuha,Lyney,Baizhu,Alhaitham,Furina,Nilou,Yelan,Kaedehara Kazuha,Raiden Shogun,Chiori,Hu Tao,Lyney,Zhongli,Citlali,Clorinde,Sigewinne,Furina,Xianyun,Venti,Navia,Raiden Shogun,Shenhe,Emelie,Citlali,Chasca,Nahida,Yelan,Nefer,Zhongli,Venti,Xilonen,Ineffa,Neuvillette,Flins,Escoffier,
